koi_disposition,koi_score,koi_period,koi_duration,koi_depth,koi_model_snr,koi_prad,koi_teq,koi_fpflag_nt,koi_fpflag_ss
CONFIRMED,1.0,3.219814777,2.0642,488.2,30.5,1.69,998.0,0,0
CONFIRMED,1.0,5.912273234,2.3254,961.4,62.8,1.73,585.0,0,0
CONFIRMED,1.0,8.98581901,2.8606,881.3,51.8,1.65,509.0,0,0
CANDIDATE,0.0,12.940668656,2.4845,42450.0,307.5,22.94,723.0,0,0
FALSE POSITIVE,0.573,20.5452375,2.517,218.5,18.5,2.41,742.0,0,1
CONFIRMED,1.0,33.60123371,4.4056,7425.9,247.9,8.46,495.0,0,0
CONFIRMED,1.0,6.76652928,2.9004,450.7,29.2,1.97,845.0,0,0
CONFIRMED,1.0,4.347288783,2.1024,451.6,39.7,2.36,1174.0,0,0
CONFIRMED,1.0,4.601811819,2.2607,755.9,60.8,2.35,896.0,0,0
CONFIRMED,0.997,11.18719905,3.252,353.6,21.9,1.55,667.0,0,0
CONFIRMED,1.0,4.220965778,3.0854,2260.0,157.8,2.62,595.0,0,0
FALSE POSITIVE,0.0,6.998099523,2.0488,20285.0,192.3,588.66,853.0,0,1
CONFIRMED,1.0,5.95489993,2.3892,1410.7,87.2,2.33,635.0,0,0
CONFIRMED,1.0,12.03987488,2.7363,1250.6,57.6,2.18,502.0,0,0
CONFIRMED,0.998,20.83762895,2.3734,439.0,14.9,1.42,418.0,0,0
FALSE POSITIVE,0.0,8.8111022,5.0683,401.1,76.8,63.66,1399.0,0,1
CONFIRMED,1.0,23.58917143,5.073,1200.7,53.3,3.16,487.0,0,0
CONFIRMED,1.0,6.481633073,3.784,298.5,125.6,2.54,1145.0,0,0
CONFIRMED,1.0,10.37168928,3.035,1254.9,64.5,3.2,720.0,0,0
CONFIRMED,1.0,3.96996298,1.1757,299.2,15.0,1.78,992.0,0,0
CONFIRMED,1.0,4.40841331,5.012,549.4,45.1,2.66,1139.0,0,0
FALSE POSITIVE,0.0,7.9426176,6.703,1590.7,60.4,4.68,878.0,0,1
CONFIRMED,1.0,226.8904775,7.558,3136.4,46.8,4.53,236.0,0,0
FALSE POSITIVE,0.0,1.956811408,2.1958,24905.0,125.4,21.58,1109.0,0,1
CANDIDATE,0.997,2.688899233,2.11275,37492.0,1011.6,12.04,929.0,0,0
